Ref Des,Mid X(mm),Mid Y(mm),Rotation,Comment,Package,LCSC Part number
C1,152.8,8,89.4,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C10,67.5,108.2,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C10_SUPERCAP,95.7,50.1,270,CPH3225A,CAPCP3225X100N,
C1_BAT,119.4,55,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C1_BAT1,49.7,90.7,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C1_BAT2,45.7,90.7,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C2,156.7,8,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C2_BAT,117.8,55,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C3,54.1,93.6,90,100uF TANT,RCL_CT3528,
C4,73.1,26,90,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C4_USB,157.9,52.5,90,100nF,EAGLE-LTSPICE_C0402,
C5,52.5,108.2,270,1uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C5_USB,155.4,45.7,0,4.7uF,EAGLE-LTSPICE_C0402,
C6,45.42,108.2,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C7,74.8,26,90,10uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C8,96.7,43.7,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C9,20.8,84,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
CHG_LED,118.62,51.6,90,,ADAFRUIT_CHIP-LED0603,
C_DELAY,51.7,102.5,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
D1,154.7,49.9,0,USBLC6-2SC6Y,SOT95P280X145-6N,
D10,39,22.1,0,PGB1010603MR,DIOC1608X36N,
D11,38.9,19.5,0,PGB1010603MR,DIOC1608X36N,
D12,28.1,23.6,270,PGB1010603MR,DIOC1608X36N,
D2,48.9,94.7,0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
D3,81.9,36,180,MBR0530,SOD3716X135N,
D4,92,27.4,180,MBR0530,SOD3716X135N,
D5,92,31.1,180,MBR0530,SOD3716X135N,
D6,32.1,23.6,90,PGB1010603MR,DIOC1608X36N,
